ClueId,ClueDifficulty,CluePoints,ClueText,CreatedAt,MovieId,UpdatedAt
51,1,10,Butts,NOW(),6,NOW()
52,2,9,Water,NOW(),6,NOW()
53,3,8,Jell-O,NOW(),6,NOW()
54,4,7,Cane,NOW(),6,NOW()
55,5,6,Banner,NOW(),6,NOW()
56,6,5,Electric fence,NOW(),6,NOW()
57,7,4,Night vision,NOW(),6,NOW()
58,8,3,Keep,NOW(),6,NOW()
59,9,2,Shaving cream,NOW(),6,NOW()
60,10,1,Mr. DANA,NOW(),6,NOW()
61,1,10,Football,NOW(),7,NOW()
62,2,9,Rain,NOW(),7,NOW()
63,3,8,Paddle,NOW(),7,NOW()
64,4,7,Bird,NOW(),7,NOW()
65,5,6,Bench,NOW(),7,NOW()
66,6,5,Run,NOW(),7,NOW()
67,7,4,Presidents,NOW(),7,NOW()
68,8,3,Alabama,NOW(),7,NOW()
69,9,2,Shrimp,NOW(),7,NOW()
70,10,1,Jenny,NOW(),7,NOW()
71,1,10,Yacht,NOW(),8,NOW()
72,2,9,Helicopter,NOW(),8,NOW()
73,3,8,Penny,NOW(),8,NOW()
74,4,7,Switzerland,NOW(),8,NOW()
75,5,6,FBI,NOW(),8,NOW()
76,6,5,Phones,NOW(),8,NOW()
77,7,4,Orgy,NOW(),8,NOW()
78,8,3,Nanny cam,NOW(),8,NOW()
79,9,2,Qualudes,NOW(),8,NOW()
80,10,1,Donnie Azoff,NOW(),8,NOW()
81,1,10,Toilet,NOW(),9,NOW()
82,2,9,Chopsticks,NOW(),9,NOW()
83,3,8,Florist,NOW(),9,NOW()
84,4,7,Cigarettes,NOW(),9,NOW()
85,5,6,Urn,NOW(),9,NOW()
86,6,5,Luggage,NOW(),9,NOW()
87,7,4,Puff the magic dragon,NOW(),9,NOW()
88,8,3,Lacquer,NOW(),9,NOW()
89,9,2,Tom Collins mix,NOW(),9,NOW()
90,10,1,Jinxy Cat,NOW(),9,NOW()
91,1,10,Deer,NOW(),10,NOW()
92,2,9,Fan,NOW(),10,NOW()
93,3,8,Brother,NOW(),10,NOW()
94,4,7,Brake pad,NOW(),10,NOW()
95,5,6,Moths,NOW(),10,NOW()
96,6,5,Sailboat,NOW(),10,NOW()
97,7,4,Sandusky,NOW(),10,NOW()
98,8,3,Bees,NOW(),10,NOW()
99,9,2,Niner,NOW(),10,NOW()
100,10,1,Richard,NOW(),10,NOW()
101,1,10,Valet,NOW(),11,NOW()
102,2,9,Library,NOW(),11,NOW()
103,3,8,Stars,NOW(),11,NOW()
104,4,7,Audition,NOW(),11,NOW()
105,5,6,Car Horn,NOW(),11,NOW()
106,6,5,Coffee,NOW(),11,NOW()
107,7,4,Theater,NOW(),11,NOW()
108,8,3,Keytar,NOW(),11,NOW()
109,9,2,Tour,NOW(),11,NOW()
110,10,1,Seb's,NOW(),11,NOW()
111,1,10,Lube,NOW(),12,NOW()
112,2,9,Gun,NOW(),12,NOW()
113,3,8,Vodka,NOW(),12,NOW()
114,4,7,Sleepover,NOW(),12,NOW()
115,5,6,Laundry detergent,NOW(),12,NOW()
116,6,5,Vest,NOW(),12,NOW()
117,7,4,Windshield,NOW(),12,NOW()
118,8,3,ID,NOW(),12,NOW()
119,9,2,Black eye,NOW(),12,NOW()
120,10,1,Fogle,NOW(),12,NOW()
